Episode 1, Total reward: 4.7, Mean loss: -inf, Epsilon: 0.995
Episode 5, Total reward: 2.2, Mean loss: 0.010486435653133825, Epsilon: 0.951
Episode 6, Total reward: 5.000000000000001, Mean loss: 0.011276727869968724, Epsilon: 0.941
Episode 7, Total reward: 11.700000000000003, Mean loss: 0.017202897271250978, Epsilon: 0.932
Episode 8, Total reward: 2.4000000000000004, Mean loss: 0.025061789667233825, Epsilon: 0.923
Episode 9, Total reward: 4.0, Mean loss: 0.02638549801821892, Epsilon: 0.914
Episode 10, Total reward: 5.8999999999999995, Mean loss: 0.027405047456600835, Epsilon: 0.904
Episode 11, Total reward: 3.0000000000000004, Mean loss: 0.030643738482309425, Epsilon: 0.895
Episode 12, Total reward: 8.6, Mean loss: 0.0506227361359473, Epsilon: 0.886
Episode 13, Total reward: 1.8000000000000003, Mean loss: 0.046027875302926353, Epsilon: 0.878
Episode 14, Total reward: 3.3000000000000007, Mean loss: 0.05906715325039366, Epsilon: 0.869
Episode 15, Total reward: 3.2, Mean loss: 0.08164375178191972, Epsilon: 0.860
Episode 16, Total reward: 1.2000000000000002, Mean loss: 0.08627304558952649, Epsilon: 0.851
Episode 17, Total reward: 4.3999999999999995, Mean loss: 0.11329570755362511, Epsilon: 0.843
Episode 18, Total reward: 3.5000000000000004, Mean loss: 0.10053083404898644, Epsilon: 0.835
Episode 19, Total reward: 4.1000000000000005, Mean loss: 0.13617706212859887, Epsilon: 0.826
Episode 20, Total reward: 1.7000000000000002, Mean loss: 0.1649343626839774, Epsilon: 0.818
Episode 21, Total reward: 1.3, Mean loss: 0.19353065453469753, Epsilon: 0.810
Episode 22, Total reward: 5.7, Mean loss: 0.21848155170679093, Epsilon: 0.802
Episode 23, Total reward: 5.500000000000001, Mean loss: 0.245490163564682, Epsilon: 0.794
Episode 24, Total reward: 3.7, Mean loss: 0.2992921210825443, Epsilon: 0.786
Episode 25, Total reward: 8.100000000000001, Mean loss: 0.36105633358801564, Epsilon: 0.778
Episode 26, Total reward: 3.9000000000000004, Mean loss: 0.44039919000604877, Epsilon: 0.770
Episode 27, Total reward: 3.900000000000001, Mean loss: 0.4562728565472823, Epsilon: 0.762
Episode 28, Total reward: 7.300000000000002, Mean loss: 0.5831102648606667, Epsilon: 0.755
Episode 29, Total reward: 4.0, Mean loss: 0.7319383506591504, Epsilon: 0.747
Episode 30, Total reward: 3.8000000000000007, Mean loss: 0.7358564682628798, Epsilon: 0.740
Episode 31, Total reward: 3.2, Mean loss: 1.0025241684913635, Epsilon: 0.732
Episode 32, Total reward: 2.400000000000001, Mean loss: 1.0236682255159726, Epsilon: 0.725
Episode 33, Total reward: 10.6, Mean loss: 1.3772630345436834, Epsilon: 0.718
Episode 34, Total reward: 2.8000000000000003, Mean loss: 1.4308540252122013, Epsilon: 0.711
Episode 35, Total reward: 2.1, Mean loss: 1.7518340706825257, Epsilon: 0.703
Episode 36, Total reward: 8.299999999999999, Mean loss: 2.062922751903534, Epsilon: 0.696
Episode 37, Total reward: 7.099999999999999, Mean loss: 2.558897610063906, Epsilon: 0.689
Episode 38, Total reward: 1.3, Mean loss: 2.8683630171276273, Epsilon: 0.683
Episode 39, Total reward: 3.700000000000001, Mean loss: 3.668353090683619, Epsilon: 0.676
Episode 40, Total reward: 2.8000000000000003, Mean loss: 4.418132149654886, Epsilon: 0.669
Episode 41, Total reward: 4.500000000000001, Mean loss: 5.948730248671311, Epsilon: 0.662
Episode 42, Total reward: 4.2, Mean loss: 7.923215530536793, Epsilon: 0.656
Episode 43, Total reward: 3.3999999999999995, Mean loss: 11.024830709804188, Epsilon: 0.649
Episode 44, Total reward: 2.600000000000001, Mean loss: 16.433350185553234, Epsilon: 0.643
Episode 45, Total reward: 2.7, Mean loss: 20.977709849675495, Epsilon: 0.636
Episode 46, Total reward: 3.7000000000000006, Mean loss: 29.365765281345535, Epsilon: 0.630
Episode 47, Total reward: 1.9000000000000004, Mean loss: 40.31581778753372, Epsilon: 0.624
Episode 48, Total reward: 2.5, Mean loss: 57.26119006763805, Epsilon: 0.617
Episode 49, Total reward: 4.5, Mean loss: 97.69573402404785, Epsilon: 0.611
Episode 50, Total reward: 5.299999999999999, Mean loss: 148.26611845833915, Epsilon: 0.605
Episode 51, Total reward: 4.4, Mean loss: 198.11322816212973, Epsilon: 0.599
Episode 52, Total reward: 2.5, Mean loss: 283.803842717951, Epsilon: 0.593
Episode 53, Total reward: 6.1, Mean loss: 484.009416251347, Epsilon: 0.587
Episode 54, Total reward: 4.000000000000001, Mean loss: 795.7009595235189, Epsilon: 0.581
Episode 55, Total reward: 6.9, Mean loss: 2170.063756142893, Epsilon: 0.575
Episode 56, Total reward: 4.1, Mean loss: 4481.635178786058, Epsilon: 0.570
Episode 57, Total reward: 2.3000000000000003, Mean loss: 8185.704356317935, Epsilon: 0.564
Episode 58, Total reward: 3.4, Mean loss: 15893.614095052084, Epsilon: 0.558
Episode 59, Total reward: 7.2, Mean loss: 24077.82004310345, Epsilon: 0.553
Episode 60, Total reward: 7.1000000000000005, Mean loss: 45342.73208512931, Epsilon: 0.547
Episode 61, Total reward: 3.3000000000000003, Mean loss: 77605.57765625, Epsilon: 0.542
Episode 62, Total reward: 3.8000000000000007, Mean loss: 112884.57942708333, Epsilon: 0.536
Episode 63, Total reward: 6.4, Mean loss: 166318.958984375, Epsilon: 0.531
Episode 64, Total reward: 8.7, Mean loss: 275294.16064453125, Epsilon: 0.526
Episode 65, Total reward: 3.2, Mean loss: 282635.65, Epsilon: 0.520
Episode 66, Total reward: 5.4, Mean loss: 406629.713125, Epsilon: 0.515
Episode 67, Total reward: 1.2000000000000002, Mean loss: 514145.6265625, Epsilon: 0.510
Episode 68, Total reward: 5.800000000000001, Mean loss: 655439.7522321428, Epsilon: 0.505
Episode 69, Total reward: 4.5, Mean loss: 1015690.8181818182, Epsilon: 0.500
Episode 70, Total reward: 4.6000000000000005, Mean loss: 1250113.1275, Epsilon: 0.495
Episode 71, Total reward: 4.1000000000000005, Mean loss: 1811822.548611111, Epsilon: 0.490
Episode 72, Total reward: 3.7, Mean loss: 2514929.527173913, Epsilon: 0.485
Episode 73, Total reward: 10.399999999999999, Mean loss: 3064491.059027778, Epsilon: 0.480
Episode 74, Total reward: 1.4000000000000001, Mean loss: 3818238.772727273, Epsilon: 0.475
Episode 75, Total reward: 7.1000000000000005, Mean loss: 5797495.567307692, Epsilon: 0.471
Episode 76, Total reward: 5.700000000000001, Mean loss: 7178117.413793104, Epsilon: 0.466
Episode 77, Total reward: 4.0, Mean loss: 12340319.456521738, Epsilon: 0.461
Episode 78, Total reward: 2.7, Mean loss: 17911112.666666668, Epsilon: 0.457
Episode 79, Total reward: 4.7, Mean loss: 20598106.95652174, Epsilon: 0.452
Episode 80, Total reward: 7.3999999999999995, Mean loss: 25330768.55172414, Epsilon: 0.448
Episode 81, Total reward: 10.900000000000002, Mean loss: 32462702.0, Epsilon: 0.443
Episode 82, Total reward: 12.099999999999996, Mean loss: 42971946.578947365, Epsilon: 0.439
Episode 83, Total reward: 6.3, Mean loss: 58055081.071428575, Epsilon: 0.434
Episode 84, Total reward: 9.299999999999999, Mean loss: 75703659.2, Epsilon: 0.430
Episode 85, Total reward: 7.1, Mean loss: 82284204.73333333, Epsilon: 0.426
Episode 86, Total reward: 2.8000000000000007, Mean loss: 85198968.08695652, Epsilon: 0.421
Episode 87, Total reward: 3.4000000000000004, Mean loss: 98831930.9090909, Epsilon: 0.417
